run_id,app_type,microphone,camera,screen,duration,app,network,memory,energy,cpu
136-e,electron,1,0,1,8,2,15.5847169005698,1.33022315560191,4.03201460568179,-1.12317489377689
137-e,electron,1,1,0,8,3,16.6135031605091,1.30165541331886,4.05528857577884,-1.13091191368976
138-e,electron,1,1,0,8,2,15.5794815654815,1.3248986196435,4.02878240659962,-1.12344284073388
139-e,electron,1,1,1,2,3,14.5094797246792,1.58712247021736,2.45070157662667,-1.04160369425871
14-e,electron,1,1,0,8,1,15.8520837325355,0.7031789266216,4.02774964001922,-1.10621796751551
140-e,electron,1,0,0,8,1,11.4190389245545,0.668608186170326,4.04186543241999,-1.39460531232744
141-e,electron,1,1,0,8,3,16.8055057571933,1.3276913286588,4.03617712552435,-1.12924648211395
142-e,electron,1,1,0,8,3,16.7864120834539,1.32514815434546,4.02433921884148,-1.1312048253405
143-e,electron,1,1,0,2,2,13.6114992501714,1.09214836949694,2.45422154822266,-1.19945581895406
144-e,electron,1,1,0,2,1,13.673963143332,0.796079443392376,2.43200025758759,-1.1167911281571
145-e,electron,1,0,1,8,2,17.4843658975326,1.27113367116432,4.0363847106556,-1.08407536219293
146-e,electron,1,1,0,8,3,16.9020553087724,1.32819051977869,4.03375975837036,-1.1292015154738
147-e,electron,1,1,0,8,2,16.1681043364705,1.09065853852105,4.03614334272518,-1.214152036079
148-e,electron,1,1,1,2,3,13.9572944070566,1.58609138074407,2.45190136240965,-1.05382292634665
149-e,electron,1,0,1,2,3,10.4781029784152,1.4478591480974,2.44888599506352,-1.13542943630228
15-e,electron,1,0,1,2,3,9.37881676361105,1.4478591480974,2.44771461699861,-1.13456925762728
150-e,electron,1,1,0,8,3,16.8838667867594,1.21946421303239,4.02477991548579,-1.12897671773471
151-e,electron,1,1,1,2,1,13.1429049687714,0.918524982842615,2.45532374324653,-1.15750418367449
152-e,electron,1,0,1,8,1,12.2907647652878,0.864392348412155,4.03868342593343,-1.22385640511266
153-e,electron,1,1,1,2,3,13.968073130409,1.58692837673183,2.44776245148339,-1.06354681669666
154-e,electron,1,0,0,2,2,12.8214120402141,1.00324638347589,2.45522329231124,-1.31987324931262
155-e,electron,1,0,0,2,1,10.5899460517153,0.754748553789743,2.44902609012968,-1.38329431912733
156-e,electron,1,0,0,2,2,12.8187037631483,0.975412919022183,2.45649179253121,-1.33062870529982
157-e,electron,1,0,0,2,2,12.8106789180619,0.974423166960347,2.45332172779475,-1.32685674409896
158-e,electron,1,0,1,2,3,10.4749024852116,1.45096802605958,2.45669138769536,-1.12364385565356
159-e,electron,1,0,0,2,1,10.6162791823056,0.707392855432596,2.44897939365198,-1.38786310623056
16-e,electron,1,1,1,2,2,15.1701175581244,1.44994765369627,2.43381050911993,-1.02477528904432
160-e,electron,1,0,0,2,3,11.8788342125031,1.09115900537631,2.45020808012762,-1.29063548272295
161-e,electron,1,1,1,8,1,15.4008794479727,0.88721060820201,4.04247459554816,-1.13817425774125
162-e,electron,1,1,1,2,2,13.0464140360816,1.33048468934169,2.43979043940267,-1.11014595920907
163-e,electron,1,1,1,2,3,14.1649593318234,1.5933470801006,2.43779104717172,-1.04544755528075
164-e,electron,1,1,1,2,3,14.3139835050979,1.58919701968459,2.44310020996895,-1.04239981555694
165-e,electron,1,0,1,8,1,12.7191293448178,0.797287990504995,4.02867899449072,-1.20358392703052
166-e,electron,1,1,1,2,3,14.5628840821683,1.59413597916221,2.44679777105503,-1.03169757704471
167-e,electron,1,1,1,8,3,16.9127747970002,1.56975012593992,4.03735605737467,-1.03602906245172
168-e,electron,1,0,1,2,3,11.611639321169,1.44789515389224,2.44645934490561,-1.11462202186943
169-e,electron,1,1,1,8,1,15.2740131848071,0.89775536955175,4.03667192325023,-1.14341642461276
17-e,electron,1,0,0,2,3,8.68511831985982,1.09413901553224,2.45959404609986,-1.3232823864774
170-e,electron,1,1,1,8,3,16.7735917297299,1.57025897306054,4.04092811420927,-1.05179944618985
171-e,electron,1,1,1,2,2,15.1138874191039,1.44379115412097,2.42302079021201,-1.03143507613572
172-e,electron,1,0,1,8,3,11.9806866926416,1.44481102951292,4.02996522020119,-1.13309991606478
173-e,electron,1,1,0,2,2,13.6397612929281,1.09115900537631,2.45132384247656,-1.19291556115109
174-e,electron,1,0,1,8,2,17.476256184351,1.30552216898551,4.03226778829674,-1.08704915161913
175-e,electron,1,1,0,8,1,15.8883993862976,0.767168156283396,4.02629695920747,-1.07656673600653
176-e,electron,1,0,1,8,3,13.6648603456309,1.42995301185965,4.03523605909151,-1.11433468880426
177-e,electron,1,1,1,8,3,16.9186997327455,1.57647574487701,4.03600906862334,-1.03396208990659
